index_location,skim_number,skim_name,skim_taxa,skim_taxid,skim_sampleID,skim_reads,skim_kmer_estimate
raw_cat_7.tsv,27,BMB_DB-gbfin,Andromeda polifolia,95630,BMB_DB,7970454,308089690
raw_cat_7.tsv,102,BXA_CLN-gbfin,Andromeda polifolia var. glaucophylla,191523,BXA_CLN,7255010,299157276
raw_cat_7.tsv,76,BXA_BKN-gbfin,Arctostaphylos uva-ursi,84009,BXA_BKN,8659113,302398293
raw_cat_6.tsv,245,BMB_BV-gbfin,Calluna vulgaris,13385,BMB_BV,9927076,321145225
raw_cat_7.tsv,50,BXA_AGR-gbfin,Cassiope tetragona,423282,BXA_AGR,8938985,305424084
raw_cat_6.tsv,49,CDM_AOD-gbfin,Chamaedaphne calyculata,13417,CDM_AOD,10700952,349786294
raw_cat_5.tsv,53,CDM_AGC-gbfin,Chimaphila umbellata,93815,CDM_AGC,10038071,424386858
raw_cat_5.tsv,51,CDM_BDY-gbfin,Chimaphila umbellata,93815,CDM_BDY,9663031,424610229
raw_cat_5.tsv,112,BXA_CKW-gbfin,Empetrum nigrum,191066,BXA_CKW,15785619,399563145
raw_cat_6.tsv,60,BMB_E-gbfin,Empetrum nigrum subsp. hermaphroditum,199171,BMB_E,11858262,348818332
raw_cat_9.tsv,61,BXA_CHL-gbfin,Erica cinerea,270432,BXA_CHL,8116764,243804613
raw_cat_7.tsv,259,BXA_BAD-gbfin,Harrimanella hypnoides,49146,BXA_BAD,9167014,284862730
raw_cat_7.tsv,13,BXA_CKA-gbfin,Harrimanella stelleriana,764531,BXA_CKA,9297991,309853088
raw_cat_5.tsv,248,CDM_AJF-gbfin,Kalmia polifolia,45899,CDM_AJF,10328710,360363101
raw_cat_5.tsv,171,BMB_KL-gbfin,Kalmia procumbens,45912,BMB_KL,10834118,378905108
raw_cat_5.tsv,174,BXA_CCA-gbfin,Moneses uniflora,93817,BXA_CCA,7814005,378490370
raw_cat_6.tsv,160,CDM_AHX-gbfin,Monotropa hypopitys,176248,CDM_AHX,9627568,334208732
raw_cat_5.tsv,85,BXA_AHD-gbfin,Orthilia secunda,93819,BXA_AHD,9960946,410763790
raw_cat_7.tsv,283,BMB_V-gbfin,Phyllodoce caerulea,49155,BMB_V,8282868,282562658
raw_cat_5.tsv,30,BXA_CKT-gbfin,Pyrola asarifolia,93823,BXA_CKT,10922626,434334731
raw_cat_7.tsv,20,CDM_BCE-gbfin,Pyrola chlorantha,93824,CDM_BCE,7541044,309251106
raw_cat_4.tsv,35,BXA_CJD-gbfin,Pyrola grandiflora subsp. norvegica,1891522,BXA_CJD,12993384,491109383
raw_cat_6.tsv,210,BMB_I-gbfin,Pyrola minor,93826,BMB_I,7696771,325538237
raw_cat_9.tsv,159,CDM_BCD-gbfin,Pyrola rotundifolia,13651,CDM_BCD,5314964,234305542
