sample,category,read_count
vacc_10,unid,130626
vacc_10,off_target,244
vacc_10,off_genus,4876
vacc_10,off_family,413
vacc_10,target,18882
vacc_10,higher_taxa,15093
vacc_10,higher_genus,10911
vacc_10,higher_family,678
vacc_11,unid,129465
vacc_11,off_target,243
vacc_11,off_genus,4667
vacc_11,off_family,397
vacc_11,target,20068
vacc_11,higher_taxa,15132
vacc_11,higher_genus,11072
vacc_11,higher_family,679
vacc_12,unid,128111
vacc_12,off_target,203
vacc_12,off_genus,4454
vacc_12,off_family,381
vacc_12,target,21382
vacc_12,higher_taxa,15276
vacc_12,higher_genus,11236
vacc_12,higher_family,680
vacc_13,unid,126606
vacc_13,off_target,202
vacc_13,off_genus,4231
vacc_13,off_family,368
vacc_13,target,22885
vacc_13,higher_taxa,15346
vacc_13,higher_genus,11400
vacc_13,higher_family,685
vacc_14,unid,125374
vacc_14,off_target,201
vacc_14,off_genus,4020
vacc_14,off_family,352
vacc_14,target,24158
vacc_14,higher_taxa,15377
vacc_14,higher_genus,11556
vacc_14,higher_family,685
vacc_15,unid,124240
vacc_15,off_target,199
vacc_15,off_genus,3841
vacc_15,off_family,342
vacc_15,target,25328
vacc_15,higher_taxa,15401
vacc_15,higher_genus,11687
vacc_15,higher_family,685
vacc_16,unid,123593
vacc_16,off_target,199
vacc_16,off_genus,3730
vacc_16,off_family,338
vacc_16,target,26005
vacc_16,higher_taxa,15409
vacc_16,higher_genus,11763
vacc_16,higher_family,686
vacc_17,unid,123448
vacc_17,off_target,199
vacc_17,off_genus,3672
vacc_17,off_family,347
vacc_17,target,26120
vacc_17,higher_taxa,15398
vacc_17,higher_genus,11854
vacc_17,higher_family,685
vacc_18,unid,122950
vacc_18,off_target,199
vacc_18,off_genus,3580
vacc_18,off_family,339
vacc_18,target,26638
vacc_18,higher_taxa,15411
vacc_18,higher_genus,11921
vacc_18,higher_family,685
vacc_19,unid,122402
vacc_19,off_target,198
vacc_19,off_genus,3502
vacc_19,off_family,335
vacc_19,target,27193
vacc_19,higher_taxa,15423
vacc_19,higher_genus,11984
vacc_19,higher_family,686
vacc_1,unid,144464
vacc_1,off_target,526
vacc_1,off_genus,7938
vacc_1,off_family,640
vacc_1,target,4556
vacc_1,higher_taxa,14573
vacc_1,higher_genus,8376
vacc_1,higher_family,650
vacc_20,unid,121782
vacc_20,off_target,198
vacc_20,off_genus,3374
vacc_20,off_family,327
vacc_20,target,27837
vacc_20,higher_taxa,15438
vacc_20,higher_genus,12082
vacc_20,higher_family,685
vacc_24,unid,119715
vacc_24,off_target,198
vacc_24,off_genus,2955
vacc_24,off_family,289
vacc_24,target,29973
vacc_24,higher_taxa,15503
vacc_24,higher_genus,12406
vacc_24,higher_family,684
vacc_28,unid,117932
vacc_28,off_target,198
vacc_28,off_genus,2591
vacc_28,off_family,248
vacc_28,target,31887
vacc_28,higher_taxa,15519
vacc_28,higher_genus,12661
vacc_28,higher_family,687
vacc_2,unid,142034
vacc_2,off_target,302
vacc_2,off_genus,7389
vacc_2,off_family,600
vacc_2,target,7132
vacc_2,higher_taxa,14768
vacc_2,higher_genus,8841
vacc_2,higher_family,657
vacc_32,unid,116860
vacc_32,off_target,197
vacc_32,off_genus,2419
vacc_32,off_family,236
vacc_32,target,33006
vacc_32,higher_taxa,15536
vacc_32,higher_genus,12780
vacc_32,higher_family,689
vacc_36,unid,115589
vacc_36,off_target,197
vacc_36,off_genus,2199
vacc_36,off_family,225
vacc_36,target,34343
vacc_36,higher_taxa,15541
vacc_36,higher_genus,12940
vacc_36,higher_family,689
vacc_3,unid,140077
vacc_3,off_target,273
vacc_3,off_genus,6923
vacc_3,off_family,579
vacc_3,target,9138
vacc_3,higher_taxa,14844
vacc_3,higher_genus,9230
vacc_3,higher_family,659
vacc_40,unid,114968
