num_reads	tax_id	scientific_name	sample	workflow
96960	1648017	Hordeinae	IG4	wholeskim
46759	241778	Apioideae	IG4	wholeskim
41082	1437183	Mesangiospermae	IG4	wholeskim
32755	13329	Achillea millefolium	IG4	wholeskim
26705	38820	Poales	IG4	wholeskim
23192	220462	Leymus arenarius	IG4	wholeskim
18002	75091	Rubus saxatilis	IG4	wholeskim
16425	58023	Tracheophyta	IG4	wholeskim
15689	78536	Euphyllophyta	IG4	wholeskim
15282	48027	Anthriscus sylvestris	IG4	wholeskim
14098	147368	Pooideae	IG4	wholeskim
12945	52709	Elymus trachycaulus	IG4	wholeskim
11798	52713	Leymus	IG4	wholeskim
11298	48032	Carum carvi	IG4	wholeskim
10512	183794	Leymus mollis	IG4	wholeskim
9624	1437201	Pentapetalae	IG4	wholeskim
9121	1120086	Achillea millefolium subsp. borealis	IG4	wholeskim
8201	4605	Festuca	IG4	wholeskim
7574	435792	Leymus innovatus	IG4	wholeskim
7076	23216	Rubus	IG4	wholeskim
5848	464075	Festuca richardsonii	IG4	wholeskim
5776	52153	Festuca rubra	IG4	wholeskim
5156	13328	Achillea	IG4	wholeskim
3538	1652081	Poeae Chloroplast Group 2 (Poeae type)	IG4	wholeskim
3273	376113	Hordelymus europaeus	IG4	wholeskim
3273	147389	Triticeae	IG4	wholeskim
2639	1648038	Triticodae	IG4	wholeskim
2016	15492	Elymus	IG4	wholeskim
1997	1301364	Festuca prolifera	IG4	wholeskim
1866	58024	Spermatophyta	IG4	wholeskim
241381	3504	Betula	GB6	wholeskim
103508	216990	Betula nana	GB6	wholeskim
75173	38787	Betula pubescens	GB6	wholeskim
54425	717482	Betula nana subsp. exilis	GB6	wholeskim
52433	1437183	Mesangiospermae	GB6	wholeskim
49105	669861	Valeriana excelsa subsp. sambucifolia	GB6	wholeskim
43112	241778	Apioideae	GB6	wholeskim
36429	78536	Euphyllophyta	GB6	wholeskim
30390	58023	Tracheophyta	GB6	wholeskim
25457	1437201	Pentapetalae	GB6	wholeskim
20153	3501	Urtica dioica	GB6	wholeskim
19479	1648017	Hordeinae	GB6	wholeskim
19043	15492	Elymus	GB6	wholeskim
18080	216991	Betula humilis	GB6	wholeskim
15637	48027	Anthriscus sylvestris	GB6	wholeskim
10868	75091	Rubus saxatilis	GB6	wholeskim
10787	48032	Carum carvi	GB6	wholeskim
10628	3514	Betulaceae	GB6	wholeskim
7331	129741	Elymus caninus	GB6	wholeskim
7168	19952	Valeriana	GB6	wholeskim
6032	1435599	Urtica dioica subsp. dioica	GB6	wholeskim
5506	91835	fabids	GB6	wholeskim
4888	165317	Veronica longifolia	GB6	wholeskim
4876	23216	Rubus	GB6	wholeskim
4285	721813	Maleae	GB6	wholeskim
4051	58024	Spermatophyta	GB6	wholeskim
4041	13055	Chamaenerion angustifolium	GB6	wholeskim
