num_reads	tax_id	scientific_name	sample	workflow
47032	13329	Achillea	IG4	wholeskim
17162	13329	Achillea	IG4	holi
27606	15303	Alopecurus	GB5	wholeskim
7910	15303	Alopecurus	GB5	holi
3062	15303	Alopecurus	GB6	wholeskim
1685	15303	Alopecurus	GB6	holi
14739	48027	Anthriscus	GB5	wholeskim
3013	48027	Anthriscus	GB5	holi
15637	48027	Anthriscus	GB6	wholeskim
3179	48027	Anthriscus	GB6	holi
15282	48027	Anthriscus	IG4	wholeskim
2216	48027	Anthriscus	IG4	holi
39757	241778	Apioideae	GB5	wholeskim
23617	241778	Apioideae	GB5	holi
43112	241778	Apioideae	GB6	wholeskim
25190	241778	Apioideae	GB6	holi
46759	241778	Apioideae	IG4	wholeskim
19803	241778	Apioideae	IG4	holi
257536	3504	Betula	GB5	wholeskim
96591	3504	Betula	GB5	holi
492567	3504	Betula	GB6	wholeskim
174386	3504	Betula	GB6	holi
6209	3514	Betulaceae	GB5	wholeskim
7051	3514	Betulaceae	GB5	holi
10628	3514	Betulaceae	GB6	wholeskim
11803	3514	Betulaceae	GB6	holi
10034	48032	Carum	GB5	wholeskim
2371	48032	Carum	GB5	holi
10787	48032	Carum	GB6	wholeskim
2510	48032	Carum	GB6	holi
11298	48032	Carum	IG4	wholeskim
1875	48032	Carum	IG4	holi
11603	13055	Chamaenerion	GB5	wholeskim
4723	13055	Chamaenerion	GB5	holi
4041	13055	Chamaenerion	GB6	wholeskim
110828	15492	Elymus	GB5	wholeskim
29128	15492	Elymus	GB5	holi
35746	15492	Elymus	GB6	wholeskim
9929	15492	Elymus	GB6	holi
14961	52709	Elymus	IG4	wholeskim
2288	52709	Elymus	IG4	holi
3789	199171	Empetrum	GB6	wholeskim
1502	199171	Empetrum	GB6	holi
1732	231681	Equisetum	GB5	wholeskim
6924	231681	Equisetum	GB6	wholeskim
21822	4605	Festuca	IG4	wholeskim
2660	4605	Festuca	IG4	holi
3336	379956	Geranium	GB5	wholeskim
2042	379956	Geranium	GB5	holi
1601	379956	Geranium	GB6	wholeskim
145384	1648017	Hordeinae	GB5	wholeskim
77905	1648017	Hordeinae	GB5	holi
19479	1648017	Hordeinae	GB6	wholeskim
11917	1648017	Hordeinae	GB6	holi
96960	1648017	Hordeinae	IG4	wholeskim
48967	1648017	Hordeinae	IG4	holi
3741	376113	Hordelymus	GB5	wholeskim
2136	376113	Hordelymus	GB5	holi
3273	376113	Hordelymus	IG4	wholeskim
1819	376113	Hordelymus	IG4	holi
2078	112517	Hordeum	GB5	wholeskim
59494	52713	Leymus	GB5	wholeskim
23245	220462	Leymus	GB5	holi
53076	220462	Leymus	IG4	wholeskim
19726	52713	Leymus	IG4	holi
4285	721813	Maleae	GB6	wholeskim
1726	721813	Maleae	GB6	holi
28340	4545	Poa	GB5	wholeskim
11388	4544	Poa	GB5	holi
2232	147387	Poeae	GB5	wholeskim
1761	147387	Poeae	GB5	holi
4615	1652081	PCG2 (Poeae type)	GB5	wholeskim
2838	1652081	PCG2 (Poeae type)	GB5	holi
3538	1652081	PCG2 (Poeae type)	IG4	wholeskim
1741	2948570	Poodinae	GB5	wholeskim
19563	147368	Pooideae	GB5	wholeskim
12618	147368	Pooideae	GB5	holi
2571	147368	Pooideae	GB6	wholeskim
1652	147368	Pooideae	GB6	holi
14098	147368	Pooideae	IG4	wholeskim
7509	147368	Pooideae	IG4	holi
8281	75091	Rubus	GB5	wholeskim
4075	23216	Rubus	GB5	holi
15744	75091	Rubus	GB6	wholeskim
7574	23216	Rubus	GB6	holi
25078	75091	Rubus	IG4	wholeskim
9984	23216	Rubus	IG4	holi
11212	147389	Triticeae	GB5	wholeskim
8388	147389	Triticeae	GB5	holi
3272	147389	Triticeae	GB6	wholeskim
2885	147389	Triticeae	GB6	holi
3273	147389	Triticeae	IG4	wholeskim
2303	147389	Triticeae	IG4	holi
4924	1648038	Triticodae	GB5	wholeskim
3876	1648038	Triticodae	GB5	holi
2639	1648038	Triticodae	IG4	wholeskim
1986	1648038	Triticodae	IG4	holi
21984	3501	Urtica	GB5	wholeskim
5814	3501	Urtica	GB5	holi
28891	3501	Urtica	GB6	wholeskim
9409	3501	Urtica	GB6	holi
7674	13749	Vaccinium	GB6	wholeskim
1876	13749	Vaccinium	GB6	holi
137626	669861	Valeriana	GB5	wholeskim
62095	669861	Valeriana	GB5	holi
56273	669861	Valeriana	GB6	wholeskim
25871	669861	Valeriana	GB6	holi
4888	165317	Veronica	GB6	wholeskim
2264	165317	Veronica	GB6	holi
