num_reads	tax_id	scientific_name	sample	workflow		
7910	15303	Alopecurus	GB5	holi		
3013	48027	Anthriscus	GB5	holi		
23617	241778	Apioideae	GB5	holi		
96591	3504	Betula	GB5	holi		
7051	3514	Betulaceae	GB5	holi		
2371	48032	Carum	GB5	holi		
4723	13055	Chamaenerion	GB5	holi		
29128	15492	Elymus	GB5	holi		
2042	379956	Geranium	GB5	holi		
77905	1648017	Hordeinae	GB5	holi		
2136	376113	Hordelymus	GB5	holi		
23245	220462	Leymus	GB5	holi		
11388	4544	Poa	GB5	holi		
1761	147387	Poeae	GB5	holi		
2838	1652081	PCG2 (Poeae type)	GB5	holi		
12618	147368	Pooideae	GB5	holi		
4075	23216	Rubus	GB5	holi		
8388	147389	Triticeae	GB5	holi		
3876	1648038	Triticodae	GB5	holi		
5814	3501	Urtica	GB5	holi		
62095	669861	Valeriana	GB5	holi		
27606	15303	Alopecurus	GB5	wholeskim		932517
14739	48027	Anthriscus	GB5	wholeskim		
39757	241778	Apioideae	GB5	wholeskim		
257536	3504	Betula	GB5	wholeskim		
6209	3514	Betulaceae	GB5	wholeskim		
10034	48032	Carum	GB5	wholeskim		
11603	13055	Chamaenerion	GB5	wholeskim		
110828	15492	Elymus	GB5	wholeskim		
1732	231681	Equisetum	GB5	wholeskim		
3336	379956	Geranium	GB5	wholeskim		
145384	1648017	Hordeinae	GB5	wholeskim		
3741	376113	Hordelymus	GB5	wholeskim		
59494	52713	Leymus	GB5	wholeskim		
28340	4545	Poa	GB5	wholeskim		
2232	147387	Poeae	GB5	wholeskim		
4615	1652081	PCG2 (Poeae type)	GB5	wholeskim		
1741	2948570	Poodinae	GB5	wholeskim		
19563	147368	Pooideae	GB5	wholeskim		
8281	75091	Rubus	GB5	wholeskim		
11212	147389	Triticeae	GB5	wholeskim		
4924	1648038	Triticodae	GB5	wholeskim		
21984	3501	Urtica	GB5	wholeskim		
137626	669861	Valeriana	GB5	wholeskim		
1685	15303	Alopecurus	GB6	holi		
3179	48027	Anthriscus	GB6	holi		
25190	241778	Apioideae	GB6	holi		
174386	3504	Betula	GB6	holi		
11803	3514	Betulaceae	GB6	holi		
2510	48032	Carum	GB6	holi		
9929	15492	Elymus	GB6	holi		
1502	199171	Empetrum	GB6	holi		
11917	1648017	Hordeinae	GB6	holi		
1726	721813	Maleae	GB6	holi		
1652	147368	Pooideae	GB6	holi		
7574	23216	Rubus	GB6	holi		
2885	147389	Triticeae	GB6	holi		
9409	3501	Urtica	GB6	holi		
1876	13749	Vaccinium	GB6	holi		
25871	669861	Valeriana	GB6	holi		
2264	165317	Veronica	GB6	holi		
3062	15303	Alopecurus	GB6	wholeskim	770971	
15637	48027	Anthriscus	GB6	wholeskim		
43112	241778	Apioideae	GB6	wholeskim		
492567	3504	Betula	GB6	wholeskim		
10628	3514	Betulaceae	GB6	wholeskim		
10787	48032	Carum	GB6	wholeskim		
4041	13055	Chamaenerion	GB6	wholeskim		
35746	15492	Elymus	GB6	wholeskim		
3789	199171	Empetrum	GB6	wholeskim		
6924	231681	Equisetum	GB6	wholeskim		
1601	379956	Geranium	GB6	wholeskim		
19479	1648017	Hordeinae	GB6	wholeskim		
4285	721813	Maleae	GB6	wholeskim		
2571	147368	Pooideae	GB6	wholeskim		
15744	75091	Rubus	GB6	wholeskim		
3272	147389	Triticeae	GB6	wholeskim		
28891	3501	Urtica	GB6	wholeskim		
7674	13749	Vaccinium	GB6	wholeskim		
56273	669861	Valeriana	GB6	wholeskim		
4888	165317	Veronica	GB6	wholeskim		
17162	13329	Achillea	IG4	holi		
2216	48027	Anthriscus	IG4	holi		
19803	241778	Apioideae	IG4	holi		
1875	48032	Carum	IG4	holi		
2288	52709	Elymus	IG4	holi		
2660	4605	Festuca	IG4	holi		
48967	1648017	Hordeinae	IG4	holi		
1819	376113	Hordelymus	IG4	holi		
19726	52713	Leymus	IG4	holi		
7509	147368	Pooideae	IG4	holi		
9984	23216	Rubus	IG4	holi		
2303	147389	Triticeae	IG4	holi		
1986	1648038	Triticodae	IG4	holi		
47032	13329	Achillea	IG4	wholeskim	359089	
15282	48027	Anthriscus	IG4	wholeskim		
46759	241778	Apioideae	IG4	wholeskim		
11298	48032	Carum	IG4	wholeskim		
14961	52709	Elymus	IG4	wholeskim		
21822	4605	Festuca	IG4	wholeskim		
96960	1648017	Hordeinae	IG4	wholeskim		
3273	376113	Hordelymus	IG4	wholeskim		
53076	220462	Leymus	IG4	wholeskim		
3538	1652081	PCG2 (Poeae type)	IG4	wholeskim		
14098	147368	Pooideae	IG4	wholeskim		
25078	75091	Rubus	IG4	wholeskim		
3273	147389	Triticeae	IG4	wholeskim		
2639	1648038	Triticodae	IG4	wholeskim		
